row_index,provenance,detrended,trendDetectedForDetrend,status,problem_count,warning_count,problems,warnings,raw_path,detrended_path
2963,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J180533.56-694628.5_TIC_295317572_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J180533.56-694628.5_TIC_295317572_TESSCut_detrended.fits
2964,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J065613.30-194053.2_TIC_79291669_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ZTF_J065613.30-194053.2_TIC_79291669_TESSCut_detrended.fits
2965,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J164842.60+613240.1_TIC_289572395_TESSCut_raw.fits,
2966,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_CSS_J083851.4+061401_TIC_458679960_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_CSS_J083851.4+061401_TIC_458679960_TESSCut_detrended.fits
2967,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J142539.63-693212.2_TIC_449105991_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J142539.63-693212.2_TIC_449105991_TESSCut_detrended.fits
2968,SPOC,False,False,ok,0,0,,,,
2969,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J200443.17+372740.2_TIC_40618376_TESSCut_raw.fits,
2970,QLP,False,False,ok,0,0,,,,
2971,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_V1298_Cen_TIC_324719167_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_V1298_Cen_TIC_324719167_TESSCut_detrended.fits
2972,QLP,False,False,ok,0,0,,,,
2973,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J182445.66+311013.2_TIC_23944910_TESSCut_raw.fits,
2974,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J193209.02+364713.5_TIC_137981098_TESSCut_raw.fits,
2975,QLP,False,False,ok,0,0,,,,
2976,QLP,False,False,ok,0,0,,,,
2977,QLP,False,False,ok,0,0,,,,
