family,total,trend_detected,detrended,median_fraction_segments_with_drift,median_drift_strength,p75_drift_strength,p90_drift_strength,trend_detected_percent,detrended_percent
CEPHEID,639,418,418,0.5,9.841373252555353,18.933167817178706,39.218689459838636,65.41,65.41
CV,525,331,331,0.5,10.908155800608432,33.77625306394144,93.23775652760776,63.05,63.05
DSCT_SXPHE,766,439,439,0.5555555555555556,9.193399306105107,29.228628468205525,62.72998702801017,57.31,57.31
ECLIPSING,814,480,480,0.5714285714285714,10.064291633200188,44.83986817461969,108.12063521182988,58.97,58.97
ELLIPSOIDAL_ROT,705,437,437,0.5,10.269466802595778,41.43198003122979,100.97159165267708,61.99,61.99
LONG_PERIOD,173,123,123,0.5714285714285714,13.767955035452347,24.629770998341044,44.2020616360095,71.1,71.1
RRLYR,934,653,653,0.625,15.750698238322062,32.960034240988904,64.86227603817812,69.91,69.91
XRAY,20,15,15,0.5265957446808511,10.477790326462463,14.078729670241389,20.61556289417635,75.0,75.0
YSO,458,208,208,0.42857142857142855,5.612660999292426,15.362487793109944,34.06028271901138,45.41,45.41
