provenance,total_count,drift_count,drift_percent,median_drift_strength,p75_drift_strength,p90_drift_strength
QLP,1612,93,5.77,1.6174617789102101,2.6358942462680695,3.3932830142180244
SPOC,467,1,0.21,0.21662122567314265,0.6160278319460024,1.5752457537336222
TESSCut,5034,3005,59.69,10.768223405749955,30.73501721158061,77.5081037028994
unknown,257,0,0.0,,,
