family,total_count,drift_count,drift_percent,median_drift_strength,p75_drift_strength,p90_drift_strength,insufficient_data_count,failed_count
CEPHEID,1000,418,41.8,6.623215004145152,15.519437738953126,31.992267564709767,8,169
CV,603,327,54.23,7.475764930548355,27.701600264569855,84.27801267569104,0,21
DSCT_SXPHE,997,422,42.33,5.464561166278484,23.422055320328496,58.49665509862894,17,60
ECLIPSING,998,493,49.4,6.2193735115556015,32.60388073764395,98.56212599815126,0,3
ELLIPSOIDAL_ROT,1000,453,45.3,4.854041782955238,24.40117918463034,85.00186004243486,0,3
LONG_PERIOD,991,149,15.04,2.5472514969770597,3.0284812282538054,13.627770486103161,12,26
RRLYR,1000,641,64.1,14.434031359322585,31.322360938264,61.48299547472035,0,50
XRAY,56,15,26.79,0.6897075975073408,6.985187065395438,13.498048962373183,0,0
YSO,725,181,24.97,2.4641838295987752,10.963731018974702,28.9784523675037,1,151
